iter	R2	RMSE
0	0.1440972642	0.1313223159
1	0.2649718126	0.1216965657
2	0.3684539033	0.1128051308
3	0.4575369966	0.1045469549
4	0.5346427106	0.09683215256
5	0.597951705	0.09000475168
6	0.6532284094	0.08358879814
7	0.7003229533	0.07770573375
8	0.7410546384	0.07223212535
9	0.7763922089	0.06712275777
10	0.8059473151	0.06252967244
11	0.8309951163	0.05835471508
12	0.8529039714	0.05444108844
13	0.8718460309	0.0508150499
14	0.8875980644	0.04758972778
15	0.9010160269	0.0446589766
16	0.9129586535	0.04187830796
17	0.9230104087	0.03938604138
18	0.9315698492	0.03713214813
19	0.9392035045	0.03499980289
20	0.9456711069	0.03308580869
21	0.951196726	0.03135817682
22	0.9563139809	0.02966863471
23	0.9605138626	0.02820646441
24	0.9641573676	0.02687362638
25	0.967292459	0.02567144249
26	0.9699704446	0.02459805549
27	0.9723368596	0.02360897139
28	0.9744502357	0.0226892309
29	0.9763059491	0.02184972545
30	0.9778656509	0.02111833641
31	0.979208532	0.02046769342
32	0.980455769	0.01984429249
33	0.9815106888	0.0193013058
34	0.9824029127	0.01882984393
35	0.9831415501	0.01843041632
36	0.9838854506	0.01801919599
37	0.9845441003	0.01764710506
38	0.9850958378	0.01732926369
39	0.9855842814	0.01704293841
40	0.9859995954	0.01679564238
41	0.9863772797	0.01656754828
42	0.9867514381	0.01633844405
43	0.9870830966	0.01613264332
44	0.9873069524	0.0159922393
45	0.9875970496	0.0158084332
46	0.987835152	0.01565595879
47	0.988073818	0.01550161844
48	0.9882766617	0.01536922521
49	0.9884510031	0.01525451689
50	0.9886583009	0.01511699208
51	0.9888963015	0.01495753943
52	0.9891318842	0.01479801473
53	0.9893317392	0.01466132217
54	0.9894797319	0.01455927437
55	0.9896260289	0.01445768782
56	0.9897497244	0.0143712352
57	0.9898529776	0.01429866971
58	0.9899662839	0.01421861286
59	0.9900736781	0.01414231492
60	0.9901331596	0.01409987876
61	0.9902442954	0.01402024642
62	0.9903331227	0.01395627209
63	0.9904148231	0.01389717069
64	0.990456244	0.0138671109
65	0.9905846209	0.01377352911
66	0.9906817167	0.01370232552
67	0.9907715981	0.01363608107
68	0.9908493297	0.01357853077
69	0.9908899995	0.01354832249
70	0.9909558173	0.01349929189
71	0.9909737362	0.01348591244
72	0.9910374147	0.01343825805
73	0.9911250168	0.01337242271
74	0.9911969943	0.0133180861
75	0.9911971148	0.01331799495
76	0.9912635162	0.01326767008
77	0.9913243019	0.01322143337
78	0.9913780557	0.01318041041
79	0.9913873548	0.01317330068
80	0.9914108379	0.01315532937
81	0.9914694756	0.01311034711
82	0.99157892	0.01302597446
83	0.9916221119	0.01299252627
84	0.9916637493	0.01296020014
85	0.9916978217	0.01293368724
86	0.9917889639	0.01286249759
87	0.9917892544	0.01286227003
88	0.991789337	0.01286220534
89	0.991789541	0.01286204559
90	0.9918344342	0.01282683378
91	0.9918873041	0.01278524119
92	0.9919672224	0.01272211148
93	0.992026833	0.0126748187
94	0.9920425838	0.01266229315
95	0.9921106982	0.01260798291
96	0.9921238702	0.01259745335
97	0.9921530706	0.01257407936
98	0.9921899579	0.01254449009
99	0.9922021101	0.0125347269
100	0.9922432148	0.01250164629
101	0.9922432857	0.01250158917
102	0.9922734163	0.01247728464
103	0.9923234057	0.01243685645
104	0.9923515185	0.01241406272
105	0.9923515313	0.01241405238
106	0.9924142621	0.01236303912
107	0.9924683013	0.01231892453
108	0.9925244899	0.01227288714
109	0.992564112	0.01224031924
110	0.99256424	0.01224021391
111	0.9925643388	0.01224013258
112	0.9925957043	0.01221428935
113	0.9926034948	0.01220786196
114	0.9926430523	0.0121751735
115	0.9926430778	0.01217515244
116	0.9926687531	0.01215388854
117	0.9926688457	0.01215381178
118	0.9927135785	0.01211667536
119	0.99271709	0.01211375532
120	0.9927318543	0.01210147028
121	0.9927496828	0.01208661888
122	0.9927630437	0.01207547713
123	0.9927631686	0.01207537292
124	0.9927693557	0.01207020996
125	0.9928025912	0.01204243782
126	0.9928066146	0.01203907138
127	0.9928067437	0.01203896339
128	0.992873955	0.01198258745
129	0.9929217496	0.01194233603
130	0.9929664669	0.01190455305
131	0.9930030923	0.01187351754
132	0.9930218638	0.01185757951
133	0.9930581912	0.01182667461
134	0.9930833026	0.01180526429
135	0.9931129791	0.01177991148
136	0.9931605539	0.01173915377
137	0.9931848213	0.01171830914
138	0.9932049114	0.01170102444
139	0.9932346853	0.01167536129
140	0.9932356481	0.01167453045
141	0.9932596511	0.01165379875
142	0.9932632238	0.01165070984
143	0.9932948239	0.01162335279
144	0.9933226111	0.01159924338
145	0.9933226381	0.01159921997
146	0.9933488943	0.01157639267
147	0.993386922	0.01154325127
148	0.9934162621	0.01151761589
149	0.9934546467	0.01148399175
150	0.9934766358	0.01146468532
151	0.9934849536	0.01145737382
152	0.9935146136	0.011431264
153	0.9935616622	0.0113897241
154	0.9935799764	0.01137351323
155	0.9935936329	0.01136141007
156	0.9936263422	0.01133236877
157	0.993638583	0.01132148141
158	0.9936706674	0.01129289483
159	0.9936708056	0.01129277158
160	0.9936711505	0.01129246388
161	0.9936719355	0.01129176353
162	0.9936980305	0.01126845754
163	0.9936981978	0.011268308
164	0.9937269202	0.01124259928
165	0.9937269721	0.01124255274
166	0.9937272706	0.01124228527
167	0.9937499547	0.01122193912
168	0.9937792804	0.01119558104
169	0.9938125755	0.01116557986
170	0.9938220689	0.01115701087
171	0.9938557645	0.01112654301
172	0.9938795601	0.01110497653
173	0.9938798544	0.01110470949
174	0.9939045993	0.01108223753
175	0.9939057598	0.01108118255
176	0.993937987	0.01105184433
177	0.9939692501	0.01102330907
178	0.993984862	0.01100903174
179	0.9939962349	0.01099861933
180	0.9940005928	0.01099462692
181	0.9940038645	0.01099162858
182	0.9940104969	0.0109855479
183	0.9940358625	0.01096226131
184	0.9940647308	0.01093569869
185	0.9940946178	0.01090813064
186	0.9941160435	0.01088832444
187	0.9941377992	0.01086817618
188	0.9941586869	0.01084879662
189	0.9941811137	0.01082795051
190	0.9941967248	0.01081341593
191	0.994226132	0.0107859835
192	0.9942575353	0.01075661177
193	0.994274508	0.01074070364
194	0.9943173038	0.01070048707
195	0.9943340464	0.0106847123
196	0.9943510604	0.01066865792
197	0.9943614152	0.01065887535
198	0.9943830408	0.01063841577
199	0.9943843615	0.01063716502
200	0.9943994724	0.01062284382
201	0.9944255481	0.01059808537
202	0.9944539716	0.01057103155
203	0.9944691737	0.01055653364
204	0.9944901319	0.01053651345
205	0.9944999618	0.01052711044
206	0.9945213321	0.0105066391
207	0.9945328554	0.01049558389
208	0.9945461617	0.0104828037
209	0.9945466448	0.01048233942
210	0.9945688927	0.01046093535
211	0.9945697896	0.01046007156
212	0.9945806161	0.01044963896
213	0.9945843076	0.01044607934
214	0.9946047322	0.01042636272
215	0.9946156222	0.01041583491
216	0.9946346705	0.01039739456
